date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:31	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20May%202023%2008:46:31%20GMT	http://code.tidio.co/	C:/My%20Web%20Sites/UTB/code.tidio.co/index.html	(from https://www.utb.ac.rw/)
10:46:31	2196/2196	---M--	200	added ('OK')	image/png	etag:%22894-5ec17fea23700%22	https://www.utb.ac.rw/wp-content/uploads/2021/06/cropped-logo-32x32.png	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/uploads/2021/06/cropped-logo-32x32.png	(from https://www.utb.ac.rw/)
10:46:32	37264/37264	---M--	200	added ('OK')	image/png	etag:%229190-5ec17fea23700%22	https://www.utb.ac.rw/wp-content/uploads/2021/06/cropped-logo-192x192.png	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/uploads/2021/06/cropped-logo-192x192.png	(from https://www.utb.ac.rw/)
10:46:32	39926/39926	---M--	200	added ('OK')	image/png	etag:%229bf6-5ec17fea23700%22	https://www.utb.ac.rw/wp-content/uploads/2021/06/cropped-logo-180x180.png	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/uploads/2021/06/cropped-logo-180x180.png	(from https://www.utb.ac.rw/)
10:46:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20May%202023%2008:46:33%20GMT	https://www.utb.ac.rw/staff	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/staff.2d.delayed	(from https://www.utb.ac.rw/)
10:46:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20May%202023%2008:46:33%20GMT	http://www.utb.ac.rw/wp-content/uploads/2014/10/LOGO-SMALL.png	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/uploads/2014/10/LOGO-SMALL.2e.delayed	(from https://www.utb.ac.rw/)
10:46:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20May%202023%2008:46:33%20GMT	http://www.utb.ac.rw/student/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/student/index.html	(from https://www.utb.ac.rw/)
10:46:35	7160/7160	---M--	200	added ('OK')	image/png	etag:%221bf8-5ec17fe92f4c0%22	https://www.utb.ac.rw/wp-content/uploads/2014/10/LOGO-SMALL.png	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/uploads/2014/10/LOGO-SMALL.png	(from https://www.utb.ac.rw/)
10:46:35	70932/-1	---M--	200	added ('OK')	text/html	date:Wed,%2024%20May%202023%2008:46:35%20GMT	https://www.utb.ac.rw/alumni/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/alumni/index.html	(from https://www.utb.ac.rw/)
10:46:36	95890/95890	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20May%202023%2008:46:33%20GMT	https://www.utb.ac.rw/staff/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/staff/index.html	(from https://www.utb.ac.rw/)
10:46:37	67431/-1	---M--	200	added ('OK')	text/html	date:Wed,%2024%20May%202023%2008:46:36%20GMT	https://www.utb.ac.rw/utb-history/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/utb-history/index.html	(from https://www.utb.ac.rw/)
10:46:37	65902/-1	---M--	200	added ('OK')	text/html	date:Wed,%2024%20May%202023%2008:46:27%20GMT	https://www.utb.ac.rw/mission-and-vision/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/mission-and-vision/index.html	(from https://www.utb.ac.rw/)
10:46:38	60503/-1	---M--	200	added ('OK')	text/html	date:Wed,%2024%20May%202023%2008:46:36%20GMT	https://www.utb.ac.rw/governance-and-management/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/governance-and-management/index.html	(from https://www.utb.ac.rw/)
10:46:38	70443/-1	---M--	200	added ('OK')	text/html	date:Wed,%2024%20May%202023%2008:46:33%20GMT	https://www.utb.ac.rw/governance/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/governance/index.html	(from https://www.utb.ac.rw/)
